file,n_vertices,n_edges,evol_weight,smt_weight,error
steinb1.txt,50,63,82.0,82.0,0.0
steinb2.txt,50,63,83.0,83.0,0.0
steinb3.txt,50,63,144.0,138.0,4.35
steinb4.txt,50,100,59.0,59.0,0.0
steinb5.txt,50,100,62.0,61.0,1.64
steinb6.txt,50,100,131.0,122.0,7.38
steinb7.txt,75,94,111.0,111.0,0.0
steinb8.txt,75,94,109.0,104.0,4.81
steinb9.txt,75,94,221.0,220.0,0.45
steinb10.txt,75,150,86.0,86.0,0.0
steinb11.txt,75,150,89.0,88.0,1.14
steinb12.txt,75,150,190.0,174.0,9.2
steinb13.txt,100,125,176.0,165.0,6.67
steinb14.txt,100,125,246.0,235.0,4.68
steinb15.txt,100,125,339.0,318.0,6.6
steinb16.txt,100,200,136.0,127.0,7.09
steinb17.txt,100,200,135.0,131.0,3.05
steinb18.txt,100,200,232.0,218.0,6.42
