file,n_vertices,n_edges,evol_weight,smt_weight,error
steinb1.txt,50,63,82.0,82.0,0.0
steinb2.txt,50,63,83.0,83.0,0.0
steinb3.txt,50,63,144.0,138.0,0.043478260869565216
steinb4.txt,50,100,59.0,59.0,0.0
steinb5.txt,50,100,61.0,61.0,0.0
steinb6.txt,50,100,127.0,122.0,0.040983606557377046
steinb7.txt,75,94,111.0,111.0,0.0
steinb8.txt,75,94,109.0,104.0,0.04807692307692308
steinb9.txt,75,94,221.0,220.0,0.004545454545454545
steinb10.txt,75,150,86.0,86.0,0.0
steinb11.txt,75,150,89.0,88.0,0.011363636363636364
steinb12.txt,75,150,184.0,174.0,0.05747126436781609
steinb13.txt,100,125,176.0,165.0,0.06666666666666667
steinb14.txt,100,125,242.0,235.0,0.029787234042553193
steinb15.txt,100,125,335.0,318.0,0.05345911949685535
steinb16.txt,100,200,132.0,127.0,0.03937007874015748
steinb17.txt,100,200,132.0,131.0,0.007633587786259542
steinb18.txt,100,200,228.0,218.0,0.045871559633027525
